index,method,RMSE,MAE,QLIKE
EURO STOXX 50,Historical,2.5291026057722683,1.2051611570305103,0.986962288135394
EURO STOXX 50,EWMA,2.4465728673267737,1.1957686699478172,0.9456330184823524
EURO STOXX 50,"GARCH(1,1)",2.3214823195017096,1.1721592955114675,0.8933031747946248
FTSE 100,Historical,1.8743835315202078,0.7101069299998446,0.3027501982806304
FTSE 100,EWMA,1.7962479197992196,0.693389559449392,0.3119558504179307
FTSE 100,"GARCH(1,1)",1.676499057764435,0.6576193324024175,0.21997756483623548
Nikkei 225,Historical,6.775912036508472,3.288703489294264,1.9412377754436945
Nikkei 225,EWMA,6.583951069716396,3.2277793526273717,1.9586017245442042
Nikkei 225,"GARCH(1,1)",6.34973920067089,2.910940055119878,1.8996264252703778
S&P 500,Historical,4.713675673400885,1.3638350430937125,1.0219689833289698
S&P 500,EWMA,4.59593291669995,1.3153100545596244,0.9149190296857583
S&P 500,"GARCH(1,1)",4.5280443824291625,1.301276859176984,0.8256415442481172
