index,method,rmse,mae,qlike
EURO STOXX 50,ewma,0.00019268336748387148,0.00013134904550636864,-7.928219771787252
EURO STOXX 50,garch,0.00019387016996473392,0.0001291899507677691,-7.925297628475788
EURO STOXX 50,historical,0.0001945981204233472,0.00013172888815192642,-7.913426724656099
FTSE 100,ewma,0.0003585598387265868,0.00021438374738556206,-7.510510848934983
FTSE 100,garch,0.0003571606701678642,0.00021307116517461352,-7.515252924629351
FTSE 100,historical,0.0003618039165940703,0.00021719467049143777,-7.5014864282587
Nikkei 225,ewma,0.00043589327168971003,0.00026481683464837057,-7.2197044443869505
Nikkei 225,garch,0.0004367520680529234,0.00026467446361282793,-7.220993529419631
Nikkei 225,historical,0.00043447344748769403,0.00026522703503721313,-7.169194722006068
S&P 500,ewma,0.00021211192463041278,0.0001424315970747154,-7.901430941949623
S&P 500,garch,0.00021150740890877147,0.000142434413204901,-7.906196796908015
S&P 500,historical,0.00021461531872549267,0.0001433572070196074,-7.875435904986926
