index,p,q,dist,aic,bic,loglik,persistence
S&P 500,1,1,normal,6342.204494725938,6359.587728343118,-3168.102247362969,0.9595298681589326
S&P 500,1,2,normal,6344.204495429104,6367.382140252011,-3168.102247714552,0.9595285207287887
S&P 500,2,1,normal,6341.535033318759,6364.7126781416655,-3166.7675166593795,0.9531526359078333
S&P 500,2,2,normal,6339.612032758902,6368.584088787536,-3164.806016379451,0.9251969311108255
EURO STOXX 50,1,1,normal,7086.065992591506,7103.449226208686,-3540.032996295753,0.9464299876567375
EURO STOXX 50,1,2,normal,7088.065992539449,7111.243637362356,-3540.0329962697247,0.946439612359602
EURO STOXX 50,2,1,normal,7088.065842953848,7111.243487776755,-3540.032921476924,0.9463750251666757
EURO STOXX 50,2,2,normal,7089.737210460275,7118.709266488908,-3539.8686052301373,0.9249000685150679
Nikkei 225,1,1,normal,7794.270360995119,7811.653594612299,-3894.1351804975593,0.9425464762631064
Nikkei 225,1,2,normal,7791.490700045363,7814.66834486827,-3891.7453500226816,0.9316976021637493
Nikkei 225,2,1,normal,7796.270360938544,7819.448005761451,-3894.135180469272,0.9425515705152681
Nikkei 225,2,2,normal,7793.490700758928,7822.462756787561,-3891.745350379464,0.93169712769167
FTSE 100,1,1,normal,5930.678919532929,5948.062153150109,-2962.3394597664646,0.9209519279862457
FTSE 100,1,2,normal,5930.452764407762,5953.630409230668,-2961.226382203881,0.9127278991869725
FTSE 100,2,1,normal,5932.678919219627,5955.856564042533,-2962.3394596098133,0.9209496647445579
FTSE 100,2,2,normal,5932.45276421512,5961.424820243753,-2961.22638210756,0.9127291099197676
